id|course_id|grade
68|1|16.25
68|1|7.5
68|1|13.25
68|3|7.5
68|3|8.75
68|3|13
68|3|7.25
68|3|11.5
68|3|11
68|3|19.5
68|3|8.5
68|4|6.5
68|4|7
68|4|7
68|4|10
68|4|11
68|4|8.5
68|4|9.5
68|4|8
68|4|6.5
68|5|6.3
68|5|7.1
68|5|8
68|5|8.4
68|5|7.4
68|5|4.8
68|5|6.6
68|5|7.2
68|5|9.8
68|5|1.5
68|10|5.5
68|10|5
68|10|8.5
68|10|6
68|10|4
68|10|5.5
68|10|9
68|10|5.5
68|6|9
68|6|6
68|6|14
68|6|9
68|6|9
68|6|8
68|6|9
68|6|10
68|7|9.5
68|7|14.25
68|7|16
68|7|14.25
68|2|11.75
68|2|7.25
68|2|10
68|2|10.75
68|8|12.5
68|8|12
68|8|12.5
68|9|6.5
68|9|6
86|1|11
86|1|14.25
86|1|16.5
86|1|16.75
86|3|15.25
86|3|11.5
86|3|13.5
86|3|16.75
86|3|13
86|3|5.5
86|3|9
86|3|12
86|4|9
86|4|8
86|4|12
86|4|9.5
86|4|8
86|4|$
86|4|10.5
86|4|8
86|4|6.5
86|5|11.9
86|5|7.3
86|5|8
86|5|2.2
86|5|4.8
86|5|6.7
86|5|8.7
86|5|7.4
86|5|3.8
86|5|4.2
86|10|10.5
86|10|5.5
86|10|7
86|10|6.5
86|10|11
86|10|8
86|10|7
86|10|7.5
86|6|7
86|6|10
86|6|9
86|6|8
86|6|5
86|6|6
86|6|10
86|6|10
86|7|10.25
86|7|13.5
86|7|8.25
86|7|10.5
86|2|12.25
86|2|9
86|2|11.75
86|2|10.25
86|8|13
86|8|14.5
86|8|5.5
86|9|10
86|9|6
86|9|8
86|9|8
122|1|12.25
122|1|16.25
122|1|15
122|1|13.25
122|3|5.5
122|3|16.75
122|3|10.25
122|3|10.25
122|3|7
122|3|10.5
122|3|19.25
122|3|17.5
122|4|10
122|4|10
122|4|7.5
122|4|7.5
122|4|9
122|4|9.5
122|4|11
122|5|5.3
122|5|10.1
122|5|4.8
122|5|3.8
122|5|10.7
122|5|4.6
122|5|0.8
122|5|8.3
122|5|11.4
122|10|8
122|10|6.5
122|10|9
122|10|7.5
122|10|10.5
122|10|6
122|10|9.5
122|10|3
122|6|6
122|6|12
122|6|9
122|6|10
122|6|9
122|6|9
122|6|10
122|6|6
122|7|11.75
122|7|10.5
122|7|9.5
122|7|10
122|2|12.25
